lhs_rule,rhs_rule,support,confidence,coverage,lift,count
{caldo de gallina} , {chaufa de pollo},0.01838164406452857,0.08446544595392794,0.2176232405681599,0.3589723773824542,286
{sopa criolla} , {chaufa al cilindro},0.016839128478694003,0.0791779993955878,0.21267433639694067,1.0921369615212326,262
{chaufa de pollo} , {caldo de gallina},0.01838164406452857,0.07812073204042612,0.2352978983225143,0.35897237738245424,286
{} , {chaufa al cilindro},0.07249823253422456,0.07249823253422456,1,1,1128
{sopa criolla} , {chicharron de pollo jr.},0.014975255479143903,0.07041402236325174,0.21267433639694067,0.47406827085670006,233
{caldo de gallina} , {chaufa al cilindro},0.014461083617199048,0.06645008860011814,0.21762324056815988,0.9165752912493245,225
{caldo de gallina} , {caldo de gallina jr.},0.011376052445529918,0.0522740696987596,0.2176232405681599,0.19631480821699265,177
{} , {2x1 1/4 de pollo a la brasa},0.051674272125457936,0.051674272125457936,1,1,804
{} , {papa rellena},0.04936049874670609,0.04936049874670609,1,1,768
{sopa criolla} , {caldo de gallina jr.},0.010411980204383315,0.04895738893925657,0.2126743363969407,0.18385904284477264,162
{sopa criolla} , {papa rellena},0.010283437238897101,0.04835297673012995,0.21267433639694067,0.9795884960209529,160
{chaufa de pollo} , {2x1 1/4 de pollo a la brasa},0.011247509480043705,0.04780114722753346,0.23529789832251433,0.9250473255139217,175
{chaufa de pollo} , {papa rellena},0.010797609100841956,0.045889101338432124,0.23529789832251427,0.9296725621414915,168
{caldo de gallina jr.} , {caldo de gallina},0.011376052445529918,0.042722664735698766,0.26627675300469184,0.19631480821699263,177
{caldo de gallina jr.} , {sopa criolla},0.010411980204383315,0.0391020999275887,0.26627675300469184,0.1838590428447726,162
{} , {spaghetti a lo alfredo},0.03297127064721383,0.03297127064721383,1,1,513
{} , {sopa del dia sancochado},0.031878655440581015,0.031878655440581015,1,1,496
{} , {spaghetti a la huancaina},0.028729352786168776,0.028729352786168776,1,1,447
{} , {chicharron de pollo},0.02602995051095829,0.02602995051095829,1,1,405
{} , {1 pollo a la brasa + papas},0.02538723568352722,0.02538723568352722,1,1,395
{} , {jarra de chicha 1.5 lt},0.025194421235297897,0.025194421235297897,1,1,392
{} , {pollo saltado},0.023973263063178867,0.023973263063178867,1,1,373
{} , {caldo de gallina menu jr},0.02262356192557362,0.02262356192557362,1,1,352
{} , {lomo saltado},0.02018124558133556,0.02018124558133556,1,1,314
{} , {sopa del dia menestron},0.019924159650363135,0.019924159650363135,1,1,310
{} , {chaufa familiar al cilindro},0.01883154444373032,0.01883154444373032,1,1,293
{} , {pollo broaster + caldo de gallina menu},0.018253101099042355,0.018253101099042355,1,1,284
{} , {caldo de gallina jr},0.017610386271611288,0.017610386271611288,1,1,274
{} , {sopa del dia shambar},0.017224757375152645,0.017224757375152645,1,1,268
{} , {1/4 de pollo},0.016967671444180217,0.016967671444180217,1,1,264
{} , {pollo broaster},0.01484671251365769,0.01484671251365769,1,1,231
{} , {sopa del dia patasca},0.014332540651712834,0.014332540651712834,1,1,223
{} , {gaseosa personal},0.013754097307024872,0.013754097307024872,1,1,214
{} , {gaseosa 1.5 lt},0.011568866893759239,0.011568866893759239,1,1,180
{} , { trigo y moron},0.011183237997300598,0.011183237997300598,1,1,174
{} , {sopa del dia cordero},0.011183237997300598,0.011183237997300598,1,1,174
{} , {spaghetti al alfredo},0.01092615206632817,0.01092615206632817,1,1,170
